docno,query,baselineScore,expandedScore
FT934-3952,352,-10.892480899706484,-9.543092618209519
FT934-3952,363,-8.884020900487604,-8.882286723095019
FT934-3952,436,-10.738757402982692,-9.123552229710235
GX007-93-12310235,726,-7.4746830515432805,-7.570923758322889
AP880623-0294,174,-7.1926858679799395,-6.956456169501756
FT934-3952,352,-10.892480899706484,-9.543092618209519
FT934-3952,363,-8.884020900487604,-8.882286723095019
FT934-3952,436,-10.738757402982692,-9.123552229710235
GX007-93-12310235,726,-7.4746830515432805,-7.570923758322889
AP880623-0294,174,-7.1926858679799395,-6.956456169501756
AP880917-0104,148,-9.480126346616634,-9.06146282211784
AP880721-0095,125,-7.298981322739294,-7.244791932215264
AP880721-0095,172,-9.919697389449398,-8.985802669421668
AP880721-0095,173,-8.590622234009274,-6.520396777754632
WTX099-B24-354,503,-8.915480983494676,-8.784984297616695
FBIS3-39240,362,-9.40475133274814,-8.6249953636394
FBIS3-39240,401,-8.269345983959312,-8.188110060425013
GX009-91-3983369,718,-7.060702851236867,-6.934690945630257
FBIS3-40185,414,-8.50428430292157,-8.006088813423712
AP890424-0284,195,-10.008235532023013,-9.294347971211998
FT941-10100,450,-6.431628715897155,-6.3240990788141085
GX011-80-1074652,714,-7.4474879196595785,-7.396605365127295
WTX101-B11-76,480,-7.306805446552482,-6.952543120619759
WTX016-B14-3,500,-6.2617964800817845,-6.476339544368683
GX010-11-11242343,804,-7.889829206836708,-6.83060278434755
FT931-4409,389,-9.34989960937746,-9.365036970852898
WTX018-B20-194,537,-8.611038920825953,-9.142784826168002
WTX026-B08-107,507,-9.9354469989592,-10.704604366195433
AP890412-0121,133,-10.49481286460045,-7.886489735728974
AP880528-0031,144,-7.984086611149605,-8.021346717486768
WTX024-B42-140,525,-7.707967365126823,-7.714001619665339
WTX024-B42-140,541,-7.064497470604955,-7.419224592266881
AP880409-0180,142,-8.900586725761737,-8.162728489422676
LA010189-0141,436,-10.668191765386808,-8.57362882734018
AP880321-0288,169,-10.02063972499769,-10.465433541383547
GX244-55-7689023,796,-7.644009819378249,-7.469497435140934
FR940318-0-00101,338,-11.20295411474245,-11.291949496167078
AP880609-0179,129,-7.03873742714877,-7.598200350806716
AP880609-0179,149,-8.606936892794858,-8.469476143044162
AP891218-0158,150,-7.993249319702086,-8.19200927611534
WTX057-B41-159,453,-5.546244570314476,-5.7542806291126665
FT934-3952,352,-10.892480899706484,-9.543092618209519
