doc,query,pq_q_recall,pq_q_ap,q_weight_perc
AP880623-0294,174,0.3333333333333333,0.3333333333333333,0.16666666666666666
AP880917-0104,148,0.0,0.0,0.0
AP880721-0095,172,0.08333333333333333,0.041666666666666664,0.125
AP880721-0095,125,0.2,0.08333333333333333,0.125
AP880721-0095,173,0.5,0.16666666666666666,0.125
AP890424-0284,195,0.25,0.2857142857142857,0.3448275862068966
AP890412-0121,133,0.3333333333333333,0.3333333333333333,0.25
AP880528-0031,144,0.0,0.0,0.0
AP880409-0180,142,0.125,0.023809523809523808,0.08571428571428572
AP880321-0288,169,0.0,0.0,0.0
AP880609-0179,129,0.2,0.08333333333333333,0.10256410256410256
AP880609-0179,149,0.0,0.0,0.0
AP891218-0158,150,0.0,0.0,0.0
AP891205-0198,117,0.14285714285714285,0.0625,0.11764705882352941
AP890308-0220,158,0.125,0.25,0.21311475409836064
AP880401-0072,148,0.0,0.0,0.0
AP890406-0119,142,0.0,0.0,0.0
AP890302-0037,158,0.125,0.25,0.17307692307692307
AP890209-0263,191,0.0,0.0,0.0
AP880622-0299,197,0.07692307692307693,0.013888888888888888,0.07894736842105263
AP890218-0025,110,0.25,0.08095238095238096,0.15384615384615385
AP890410-0259,152,0.0,0.0,0.0
AP881013-0147,193,0.0,0.0,0.0
AP890902-0140,145,0.0,0.0,0.0
AP890902-0140,130,0.16666666666666666,0.027777777777777776,0.06097560975609756
AP880930-0069,138,0.3333333333333333,0.15,0.19607843137254902
AP890629-0038,142,0.125,0.16666666666666666,0.17307692307692307
AP890629-0038,143,0.25,0.1111111111111111,0.11538461538461539
AP880802-0131,151,0.25,0.1111111111111111,0.12857142857142856
AP880321-0151,146,0.0,0.0,0.0
AP890228-0135,156,0.0,0.0,0.0
AP890228-0135,151,0.0,0.0,0.0
AP880725-0117,124,0.2,0.25,0.3125
AP880725-0117,123,0.0,0.0,0.0
AP880725-0117,198,0.14285714285714285,0.03125,0.052083333333333336
AP880725-0117,122,0.14285714285714285,0.16666666666666666,0.3125
AP880725-0117,135,0.14285714285714285,0.025,0.052083333333333336
AP880725-0117,160,0.0,0.0,0.0
AP880725-0117,121,0.3333333333333333,0.5,0.3125
AP880727-0195,135,0.14285714285714285,0.05,0.11392405063291139
AP880727-0195,198,0.14285714285714285,0.0625,0.11392405063291139
AP880321-0121,127,0.2,0.03571428571428571,0.07352941176470588
AP890712-0128,189,0.0,0.0,0.0
AP890713-0202,140,0.0,0.0,0.0
AP890713-0202,155,0.16666666666666666,0.125,0.1206896551724138
AP880706-0326,183,0.3333333333333333,0.16666666666666666,0.1346153846153846
AP890722-0115,155,0.3333333333333333,0.13333333333333333,0.17391304347826086
AP890509-0192,105,0.0,0.0,0.0
AP890509-0192,195,0.375,0.3469387755102041,0.4307692307692308
AP890426-0210,192,0.6666666666666666,0.6666666666666666,0.3611111111111111
AP890426-0210,154,1.0,1.0,0.3611111111111111
AP890626-0240,181,0.05555555555555555,0.045454545454545456,0.1527777777777778
AP890626-0240,160,0.0,0.0,0.0
AP890202-0029,190,0.125,0.05,0.08333333333333333
AP880226-0015,200,0.0,0.0,0.0
AP890127-0050,152,0.0,0.0,0.0
AP891130-0175,189,0.0,0.0,0.0
AP890107-0063,151,0.0,0.0,0.0
AP890407-0256,167,0.0625,0.01515151515151515,0.09836065573770492
AP890407-0256,187,0.0,0.0,0.0
AP891208-0225,169,0.0,0.0,0.0
AP880825-0156,118,0.0,0.0,0.0
AP880825-0156,119,0.0,0.0,0.0
AP880825-0156,120,0.0,0.0,0.0
AP880702-0133,144,0.0,0.0,0.0
AP890123-0224,144,0.3333333333333333,0.375,0.3225806451612903
AP890608-0152,161,0.0,0.0,0.0
AP880629-0144,125,0.0,0.0,0.0
AP880629-0144,197,0.0,0.0,0.0
AP880629-0144,199,0.2,0.027777777777777776,0.07017543859649122
AP880908-0188,161,0.5,0.125,0.08064516129032258
AP890803-0059,132,0.0,0.0,0.0
AP880325-0237,165,0.16666666666666666,0.08333333333333333,0.15
AP880513-0101,102,0.0,0.0,0.0
AP880513-0101,101,0.0,0.0,0.0
AP880513-0101,113,0.25,0.0625,0.10344827586206896
AP880513-0101,114,0.25,0.0625,0.10344827586206896
AP891009-0097,124,0.2,0.125,0.1780821917808219
AP891009-0097,198,0.0,0.0,0.0
AP890512-0173,101,0.2222222222222222,0.07619047619047618,0.14285714285714285
AP890703-0137,157,0.0,0.0,0.0
AP880920-0044,191,0.2,0.047619047619047616,0.07792207792207792
AP880920-0044,186,0.16666666666666666,0.049107142857142856,0.15584415584415584
AP880920-0044,166,0.2,0.125,0.12987012987012986
AP890405-0035,153,0.25,0.06481481481481481,0.14285714285714285
AP881118-0110,140,0.0,0.0,0.0
AP881118-0110,130,0.0,0.0,0.0
AP890727-0011,167,0.0,0.0,0.0
AP890414-0086,152,0.0,0.0,0.0
AP880809-0056,167,0.0625,0.045454545454545456,0.125
AP880809-0056,163,0.0,0.0,0.0
AP881123-0283,162,0.5,0.08333333333333333,0.05
