doc,query,num_q_in_choices,q_length,perc_q_in_choices
AP880215-0223,135,1,5,0.2
AP880215-0223,134,2,3,0.6666666666666666
AP880215-0223,198,1,4,0.25
AP880216-0127,111,1,2,0.5
AP880216-0127,127,2,4,0.5
AP880220-0009,181,1,11,0.09090909090909091
AP880220-0125,114,2,4,0.5
AP880221-0034,166,0,4,0.0
AP880223-0026,150,2,3,0.6666666666666666
AP880225-0196,189,0,3,0.0
AP880226-0015,200,2,5,0.4
AP880226-0220,186,0,8,0.0
AP880226-0220,185,3,3,1.0
AP880226-0220,103,2,2,1.0
AP880302-0232,180,2,3,0.6666666666666666
AP880310-0226,189,0,3,0.0
AP880310-0268,167,1,11,0.09090909090909091
AP880312-0006,142,3,6,0.5
AP880312-0006,143,2,3,0.6666666666666666
AP880313-0097,187,0,4,0.0
AP880318-0173,115,2,4,0.5
AP880320-0047,126,1,4,0.25
AP880321-0121,127,2,4,0.5
AP880321-0151,146,4,5,0.8
AP880321-0288,169,0,4,0.0
AP880324-0305,172,2,8,0.25
AP880324-0305,173,2,2,1.0
AP880325-0087,176,0,4,0.0
AP880325-0237,165,2,4,0.5
AP880326-0137,194,0,4,0.0
AP880401-0072,148,2,3,0.6666666666666666
AP880401-0284,189,0,3,0.0
AP880409-0174,144,2,4,0.5
AP880409-0180,142,3,6,0.5
AP880411-0049,189,1,3,0.3333333333333333
AP880413-0234,199,0,4,0.0
AP880414-0285,195,3,7,0.42857142857142855
AP880418-0006,130,1,4,0.25
AP880420-0181,127,3,4,0.75
AP880420-0258,187,1,4,0.25
AP880421-0011,138,1,5,0.2
AP880421-0011,118,2,2,1.0
AP880421-0011,119,3,3,1.0
AP880421-0122,158,1,4,0.25
AP880421-0122,156,1,5,0.2
AP880421-0166,188,0,2,0.0
AP880421-0310,195,3,7,0.42857142857142855
AP880423-0081,185,3,3,1.0
AP880423-0081,103,2,2,1.0
AP880428-0135,182,1,6,0.16666666666666666
AP880428-0135,148,0,3,0.0
AP880502-0077,145,1,4,0.25
AP880502-0077,130,2,4,0.5
AP880510-0175,138,3,5,0.6
AP880513-0101,101,1,7,0.14285714285714285
AP880513-0101,114,2,4,0.5
AP880513-0101,102,1,7,0.14285714285714285
AP880513-0101,113,2,4,0.5
AP880521-0028,133,1,3,0.3333333333333333
AP880528-0031,144,1,4,0.25
AP880530-0182,194,0,4,0.0
AP880531-0026,127,2,4,0.5
AP880601-0222,130,1,4,0.25
AP880603-0173,165,2,4,0.5
AP880603-0173,172,3,8,0.375
AP880603-0173,125,3,4,0.75
AP880603-0173,173,2,2,1.0
AP880604-0024,142,3,6,0.5
AP880604-0024,143,2,3,0.6666666666666666
AP880606-0073,151,1,3,0.3333333333333333
AP880608-0215,164,1,5,0.2
AP880609-0179,149,1,2,0.5
AP880609-0179,129,2,2,1.0
AP880610-0043,118,2,2,1.0
AP880610-0043,119,3,3,1.0
AP880613-0034,157,1,4,0.25
AP880614-0056,165,2,4,0.5
AP880614-0056,183,0,3,0.0
AP880617-0289,142,3,6,0.5
AP880617-0289,108,1,3,0.3333333333333333
AP880617-0289,141,2,5,0.4
AP880618-0079,181,0,11,0.0
AP880622-0299,197,1,9,0.1111111111111111
AP880622-0316,184,3,4,0.75
AP880623-0294,174,3,3,1.0
AP880627-0153,142,3,6,0.5
AP880629-0144,199,2,4,0.5
AP880629-0144,125,0,4,0.0
AP880629-0144,197,0,9,0.0
AP880630-0145,149,0,2,0.0
AP880701-0042,188,1,2,0.5
AP880702-0133,144,1,4,0.25
AP880706-0138,187,1,4,0.25
AP880706-0138,137,0,4,0.0
AP880706-0299,157,0,4,0.0
AP880706-0326,183,2,3,0.6666666666666666
AP880711-0175,172,1,8,0.125
AP880711-0175,191,1,3,0.3333333333333333
AP880713-0031,199,0,4,0.0
AP880713-0031,156,1,5,0.2
AP880713-0031,185,0,3,0.0
AP880713-0031,103,0,2,0.0
AP880718-0115,147,2,3,0.6666666666666666
AP880721-0095,172,2,8,0.25
AP880721-0095,125,4,4,1.0
AP880721-0095,173,2,2,1.0
AP880723-0185,169,1,4,0.25
AP880725-0117,160,1,5,0.2
AP880725-0117,124,1,4,0.25
AP880725-0117,135,1,5,0.2
AP880725-0117,121,1,2,0.5
AP880725-0117,123,1,3,0.3333333333333333
AP880725-0117,122,1,6,0.16666666666666666
AP880725-0117,198,1,4,0.25
AP880726-0143,152,1,5,0.2
AP880727-0195,135,1,5,0.2
AP880727-0195,198,1,4,0.25
AP880728-0157,148,3,3,1.0
AP880801-0121,180,1,3,0.3333333333333333
AP880802-0073,178,1,2,0.5
AP880802-0131,151,1,3,0.3333333333333333
AP880803-0103,110,3,6,0.5
AP880809-0056,167,1,11,0.09090909090909091
AP880809-0056,163,0,4,0.0
AP880811-0157,156,0,5,0.0
AP880823-0008,116,1,3,0.3333333333333333
AP880823-0204,162,0,2,0.0
AP880825-0156,120,2,4,0.5
AP880825-0156,118,2,2,1.0
AP880825-0156,119,3,3,1.0
AP880825-0236,108,2,3,0.6666666666666666
AP880825-0236,141,2,5,0.4
AP880827-0141,183,0,3,0.0
AP880829-0248,141,3,5,0.6
AP880908-0152,194,1,4,0.25
AP880908-0188,161,2,2,1.0
AP880914-0112,155,2,4,0.5
AP880916-0032,142,3,6,0.5
AP880916-0032,179,1,5,0.2
AP880917-0104,148,1,3,0.3333333333333333
AP880920-0044,186,3,8,0.375
AP880920-0044,191,1,3,0.3333333333333333
AP880920-0044,166,3,4,0.75
AP880920-0161,146,2,5,0.4
AP880929-0138,143,2,3,0.6666666666666666
AP880930-0069,138,3,5,0.6
AP881001-0081,150,1,3,0.3333333333333333
AP881013-0147,193,1,3,0.3333333333333333
AP881020-0180,178,0,2,0.0
AP881024-0053,189,0,3,0.0
AP881026-0117,193,1,3,0.3333333333333333
AP881027-0126,153,3,6,0.5
AP881027-0186,144,3,4,0.75
AP881029-0101,156,1,5,0.2
AP881104-0070,199,0,4,0.0
AP881104-0104,111,1,2,0.5
AP881111-0167,163,4,4,1.0
AP881116-0010,159,0,3,0.0
AP881118-0110,140,0,4,0.0
AP881118-0110,130,1,4,0.25
AP881119-0060,144,1,4,0.25
AP881121-0106,199,1,4,0.25
AP881123-0283,162,1,2,0.5
AP881124-0125,110,5,6,0.8333333333333334
AP881129-0210,155,0,4,0.0
AP881129-0210,145,1,4,0.25
AP881204-0007,119,0,3,0.0
AP881206-0088,189,1,3,0.3333333333333333
AP881206-0121,137,1,4,0.25
AP881209-0034,160,0,5,0.0
AP881213-0156,143,1,3,0.3333333333333333
AP890104-0157,119,1,3,0.3333333333333333
AP890107-0063,151,1,3,0.3333333333333333
AP890107-0088,146,0,5,0.0
AP890123-0224,144,2,4,0.5
AP890126-0068,189,1,3,0.3333333333333333
AP890127-0050,152,0,5,0.0
