KIMCZ,FT921-4613,313,0,0.0,0.0,0.0,0.0
ZMZFP,FT934-2957,314,0,0.0,0.0,0.0,0.0
ZMZFP,FR940318-0-00101,338,0,0.0,0.0,0.0,0.0
ZMZFP,LA100690-0107,350,1,0.09090909090909091,0.3333333333333333,0.1111111111111111,0.2
HYEAM,FT934-3952,352,0,0.0,0.0,0.0,0.0
ZMZFP,FBIS3-39240,362,0,0.0,0.0,0.0,0.0
HYEAM,FT934-3952,363,0,0.1111111111111111,0.3333333333333333,0.0,0.0
ZMZFP,FT931-4409,389,1,0.0,0.0,0.0,0.0
ZMZFP,FBIS3-39240,401,1,0.1,0.3333333333333333,0.0,0.0
ZMZFP,FT944-1628,401,0,0.0,0.0,0.0,0.0
ZMZFP,FT944-1628,410,1,0.2,0.5,0.0,0.0
ZMZFP,FBIS3-40185,414,0,0.125,0.3333333333333333,0.05263157894736842,0.1
ZMZFP,FBIS4-47102,434,1,0.1,0.5,0.0,0.0
HYEAM,FT934-3952,436,0,0.0,0.0,0.0,0.0
ZMZFP,FT941-10100,450,1,0.375,1.0,0.17647058823529413,0.3
HSOAQ,LA071190-0129,313,1,0.18181818181818182,0.6666666666666666,0.17647058823529413,0.3
HSOAQ,FT923-6521,338,0,0.0,0.0,0.0,0.0
HSOAQ,LA051289-0178,398,0,0.07692307692307693,0.25,0.0,0.0
HSOAQ,FT923-6521,398,0,0.0,0.0,0.0,0.0
HSOAQ,LA122289-0076,440,0,0.0,0.0,0.0,0.0
HSOAQ,LA060590-0046,638,0,0.0,0.0,0.0,0.0
HSOAQ,FT942-6494,687,1,0.0,0.0,0.0,0.0
HSOAQ,FT944-11346,693,1,0.3,1.0,0.05263157894736842,0.1
HSOAQ,LA011489-0121,695,0,0.0,0.0,0.0,0.0
YHZWN,FT934-3952,352,0,0.08333333333333333,0.3333333333333333,0.0,0.0
SSPNB,FT934-3952,352,0,0.08333333333333333,0.3333333333333333,0.05263157894736842,0.1
TZUGR,FT934-3952,352,0,0.0,0.0,0.0,0.0
ZJDLX,FBIS3-39240,362,0,0.0,0.0,0.0,0.0
HSOAQ,FBIS3-39240,362,0,0.0,0.0,0.0,0.0
VXDPZ,FBIS3-39240,362,0,0.0,0.0,0.0,0.0
YHZWN,FT934-3952,363,0,0.08333333333333333,0.3333333333333333,0.0,0.0
SSPNB,FT934-3952,363,0,0.08333333333333333,0.3333333333333333,0.0,0.0
TZUGR,FT934-3952,363,0,0.1,0.3333333333333333,0.0,0.0
ZJDLX,FBIS3-39240,401,1,0.0,0.0,0.0,0.0
HSOAQ,FBIS3-39240,401,1,0.08333333333333333,0.3333333333333333,0.0,0.0
VXDPZ,FBIS3-39240,401,1,0.14285714285714285,0.3333333333333333,0.0,0.0
HSOAQ,FBIS3-40185,414,0,0.08333333333333333,0.3333333333333333,0.05263157894736842,0.1
VXDPZ,FBIS3-40185,414,0,0.1111111111111111,0.3333333333333333,0.0,0.0
YHZWN,FT934-3952,436,0,0.0,0.0,0.0,0.0
SSPNB,FT934-3952,436,0,0.0,0.0,0.0,0.0
TZUGR,FT934-3952,436,0,0.0,0.0,0.0,0.0
VXDPZ,FT941-10100,450,1,0.14285714285714285,0.3333333333333333,0.17647058823529413,0.3
ZMZFP,FBIS3-20897,313,1,0.25,0.6666666666666666,0.42857142857142855,0.6
HOMFA,FT924-2356,325,0,0.0,0.0,0.0,0.0
HOMFA,LA083089-0044,332,1,0.2,0.6666666666666666,0.0,0.0
HOMFA,FT924-2356,336,0,0.0,0.0,0.0,0.0
HOMFA,FR940318-0-00101,338,0,0.0,0.0,0.0,0.0
HOMFA,FBIS3-39240,362,0,0.0,0.0,0.0,0.0
HOMFA,FBIS3-39240,401,1,0.08333333333333333,0.3333333333333333,0.0,0.0
HOMFA,FBIS3-40185,414,0,0.125,0.3333333333333333,0.0,0.0
HOMFA,FBIS3-9311,439,0,0.0,0.0,0.0,0.0
HOMFA,LA022389-0218,450,1,0.08333333333333333,0.3333333333333333,0.0,0.0
HOMFA,FT941-10100,450,1,0.0,0.0,0.0,0.0
HOMFA,LA083089-0044,650,0,0.2,0.6666666666666666,0.05263157894736842,0.1
HOMFA,LA071390-0053,320,0,0.0,0.0,0.0,0.0
HOMFA,FT924-4322,334,0,0.0,0.0,0.0,0.0
HOMFA,FT924-4322,344,0,0.0,0.0,0.0,0.0
HOMFA,FT943-13239,366,0,0.0,0.0,0.0,0.0
HOMFA,FT924-4322,367,0,0.1,1.0,0.05263157894736842,0.1
HOMFA,LA061090-0221,370,0,0.08333333333333333,0.3333333333333333,0.0,0.0
HOMFA,FT924-4322,373,0,0.0,0.0,0.0,0.0
HOMFA,FT924-4322,422,0,0.0,0.0,0.0,0.0
HOMFA,FT924-4322,425,0,0.0,0.0,0.0,0.0
HOMFA,FT933-219,608,0,0.0,0.0,0.0,0.0
HOMFA,FT924-4322,645,1,0.2,1.0,0.17647058823529413,0.3
HOMFA,LA061489-0087,662,1,0.0,0.0,0.0,0.0
HOMFA,LA050390-0240,666,0,0.07692307692307693,0.3333333333333333,0.17647058823529413,0.3
HSOAQ,FBIS3-60778,343,1,0.2,1.0,0.0,0.0
SNEBC,FT934-3952,352,0,0.0,0.0,0.0,0.0
SNEBC,FT934-3952,363,0,0.08333333333333333,0.3333333333333333,0.0,0.0
HSOAQ,FR940525-1-00060,370,1,0.0,0.0,0.0,0.0
HSOAQ,FBIS3-7689,389,0,0.0,0.0,0.0,0.0
HSOAQ,FR940525-1-00060,403,0,0.0,0.0,0.0,0.0
SNEBC,FT934-3952,436,0,0.09090909090909091,0.5,0.0,0.0
HSOAQ,FR940525-1-00060,442,0,0.0,0.0,0.0,0.0
HSOAQ,FR940505-1-00242,447,0,0.0,0.0,0.0,0.0
HSOAQ,FBIS4-63852,627,0,0.0,0.0,0.0,0.0
HSOAQ,LA060590-0046,638,0,0.0,0.0,0.0,0.0
HSOAQ,FT943-8528,688,1,0.06666666666666667,0.16666666666666666,0.0,0.0
HOMFA,FT923-3617,301,0,0.0,0.0,0.0,0.0
HOMFA,LA071390-0053,320,0,0.0,0.0,0.0,0.0
HOMFA,FT922-5274,327,0,0.0,0.0,0.0,0.0
HOMFA,FBIS3-41598,357,0,0.0,0.0,0.0,0.0
HOMFA,FT923-3617,410,1,0.0,0.0,0.0,0.0
HOMFA,FR940831-2-00152,417,0,0.0,0.0,0.0,0.0
HOMFA,FT933-3647,437,1,0.0,0.0,0.0,0.0
HOMFA,LA060390-0136,438,0,0.0,0.0,0.0,0.0
HOMFA,FBIS3-9311,439,0,0.0,0.0,0.0,0.0
HSOAQ,FT934-5147,332,0,0.18181818181818182,0.6666666666666666,0.0,0.0
VXDPZ,LA082989-0016,338,0,0.0,0.0,0.0,0.0
HSOAQ,FR940318-0-00101,338,0,0.0,0.0,0.0,0.0
VXDPZ,FBIS3-60778,343,1,0.2,1.0,0.0,0.0
VXDPZ,FT943-12288,352,0,0.0,0.0,0.0,0.0
HSOAQ,FBIS3-41598,357,0,0.0,0.0,0.0,0.0
VXDPZ,FT943-12288,375,0,0.09090909090909091,0.5,0.0,0.0
VXDPZ,LA082989-0016,436,1,0.0,0.0,0.0,0.0
HSOAQ,FT941-10100,450,1,0.3,1.0,0.25,0.4
HSOAQ,LA060889-0033,637,0,0.0,0.0,0.0,0.0
VXDPZ,FT943-12288,681,2,0.18181818181818182,0.6666666666666666,0.05263157894736842,0.1
KIMCZ,FT934-2957,314,0,0.0,0.0,0.0,0.0
UOPBK,LA100590-0009,323,0,0.0,0.0,0.0,0.0
KIMCZ,FR940318-0-00101,338,0,0.0,0.0,0.0,0.0
KIMCZ,FBIS3-39240,362,0,0.0,0.0,0.0,0.0
UOPBK,LA100590-0009,401,1,0.0,0.0,0.0,0.0
KIMCZ,FBIS3-39240,401,1,0.08333333333333333,0.3333333333333333,0.0,0.0
UOPBK,FT923-4554,408,0,0.0,0.0,0.0,0.0
KIMCZ,FBIS3-40185,414,0,0.08333333333333333,0.3333333333333333,0.05263157894736842,0.1
