user,docno,query,relevance,probChange,totalProbTarget,totalProbExpansion,totalProbExpanded,qtotalProbTarget,qtotalProbExpansion,qtotalProbExpanded,totalProbTargetQL,totalProbExpansionQL,totalProbExpandedQL,qtotalProbTargetQL,qtotalProbExpansionQL,qtotalProbExpandedQL,ttProbTtest,qProbTtest,ttAPTarget,ttAPExpansion,ttAPExpanded,qAPTarget,qAPExpansion,qAPExpanded,pqTTRecall,qpqRecall,pqTTResultsRecall,qpqResultsRecall,qTTSim
YHZWN,FT934-3952,352,0,0.007237857563580665,0.01170445259367045,0.01894231015725112,0.01459959561910272,4.3565768475757334E-4,0.0012636535471719766,7.668560297233347E-4,-7.696464145005178,-6.881711254300587,-6.850511016830456,-10.892480899706484,-9.144037662318622,-9.543092618209519,0.16345682461739985,0.45288050110782463,0.3051577246859265,0.27828306715025974,0.3717487849840791,0.0,0.014232331809808249,0.0,0.6,0.0,0.7,0.1,0.08333333333333333
YHZWN,FT934-3952,363,0,0.007237857563580665,0.01170445259367045,0.01894231015725112,0.01459959561910272,0.004371257579465489,0.008501555322348345,0.006023376676618633,-7.696464145005178,-6.881711254300587,-6.850511016830456,-8.884020900487604,-8.992252951178425,-8.882286723095019,0.16345682461739985,0.4252574925254914,0.3051577246859265,0.27828306715025974,0.3717487849840791,0.3333333333333333,0.3338449731389102,0.3333333333333333,0.6,0.3333333333333333,0.7,0.0,0.08333333333333333
YHZWN,FT934-3952,436,0,0.007237857563580665,0.01170445259367045,0.01894231015725112,0.01459959561910272,4.3985242448478855E-5,0.0011481187251775387,4.8563863554010285E-4,-7.696464145005178,-6.881711254300587,-6.850511016830456,-10.738757402982692,-8.501322513410873,-9.123552229710235,0.16345682461739985,0.4889604064603005,0.3051577246859265,0.27828306715025974,0.3717487849840791,0.0,0.01970202276517074,0.0,0.6,0.0,0.7,0.0,0.0
YHZWN,GX007-93-12310235,726,1,0.0016657835277027384,7.074175525247582E-6,0.001672857703227986,5.068092338360692E-4,0.001779204376142579,0.001435662293459823,0.0016761417513377523,-12.798928656216027,-7.0956357817119375,-8.288794269587457,-7.4746830515432805,-7.9915407223510995,-7.570923758322889,0.0877611124463335,0.30144951847375356,0.0,0.0349969567863664,0.0,0.026564630338215243,0.016639034441351456,0.029418958023077018,0.0,0.6666666666666666,0.1,0.15,0.0
YHZWN,AP880623-0294,174,1,-7.103605412017387E-4,0.009898937815548044,0.009188577274346306,0.009543757544947176,0.0034000758327227413,0.003439487331140167,0.003419781581931454,-7.41778002299954,-8.150177350349043,-7.158293893043039,-7.1926858679799395,-6.833328177627303,-6.956456169501756,0.8076226874689929,0.9804396881616341,0.28724009096816117,0.17036987179021243,0.41231479884231304,0.35861244019138755,0.09390798786653186,0.23401245048104133,0.7777777777777778,1.0,0.4,0.28,0.2
SSPNB,FT934-3952,352,0,0.0052922945565068245,0.011485587392872164,0.016777881949378987,0.013602505215474892,4.3565768475757334E-4,0.0012636535471719766,7.668560297233347E-4,-7.36661224884051,-7.571033426393247,-7.0665645840958,-10.892480899706484,-9.144037662318622,-9.543092618209519,0.28731449693263245,0.45288050110782463,0.2862621586780733,0.21991198142448573,0.3336147660818714,0.0,0.014232331809808249,0.0,0.7,0.0,0.6,0.1,0.08333333333333333
SSPNB,FT934-3952,363,0,0.0052922945565068245,0.011485587392872164,0.016777881949378987,0.013602505215474892,0.004371257579465489,0.008501555322348345,0.006023376676618633,-7.36661224884051,-7.571033426393247,-7.0665645840958,-8.884020900487604,-8.992252951178425,-8.882286723095019,0.28731449693263245,0.4252574925254914,0.2862621586780733,0.21991198142448573,0.3336147660818714,0.3333333333333333,0.3338449731389102,0.3333333333333333,0.7,0.3333333333333333,0.6,0.0,0.08333333333333333
SSPNB,FT934-3952,436,0,0.0052922945565068245,0.011485587392872164,0.016777881949378987,0.013602505215474892,4.3985242448478855E-5,0.0011481187251775387,4.8563863554010285E-4,-7.36661224884051,-7.571033426393247,-7.0665645840958,-10.738757402982692,-8.501322513410873,-9.123552229710235,0.28731449693263245,0.4889604064603005,0.2862621586780733,0.21991198142448573,0.3336147660818714,0.0,0.01970202276517074,0.0,0.7,0.0,0.6,0.0,0.0
SSPNB,GX007-93-12310235,726,1,0.00507804487022371,0.003971574252487427,0.009049619122711136,0.005494987713554541,0.001779204376142579,0.001435662293459823,0.0016761417513377523,-9.032709392994636,-7.6865999057395635,-7.693003649812543,-7.4746830515432805,-7.9915407223510995,-7.570923758322889,0.16183499730741757,0.30144951847375356,0.012783194556324784,0.10379168826387306,0.015825408187612914,0.026564630338215243,0.016639034441351456,0.029418958023077018,0.2,0.6666666666666666,0.35,0.15,0.0
SSPNB,AP880623-0294,174,1,-3.386008847098481E-4,0.008620193583216704,0.008281592698506859,0.008450893140861782,0.0034000758327227413,0.003439487331140167,0.003419781581931454,-8.09280491430033,-7.190130154940114,-7.135347292643056,-7.1926858679799395,-6.833328177627303,-6.956456169501756,0.911642962850401,0.9804396881616341,0.24962121212121208,0.1342916669952721,0.2365505266434059,0.35861244019138755,0.09390798786653186,0.23401245048104133,0.6666666666666666,1.0,0.4,0.28,0.2
